ID,gedcom,sourceID,callnum,type,title,author,publisher,other,shorttitle,comments,actualtext,repoID,changedate,changedby
5980,Earlylds,S3926,,,"USA - Illinois - Hancock County Marriage index","Lawton, Dorris, Compiler","Hancock County Historical Society, Illinois, 1990",,,,,REPO7,"0000-00-00 00:00:00",Larry
6004,Earlylds,S3950,,,"LDS - Far West Record: Minutes of the Church of Jesus Christ of Latter-day Saints, 1830-1844","Cannon, Donald Q. and Lyndon W. Cook","Deseret Book, Salt Lake City, Utah, 1983",,,,,REPO4,"0000-00-00 00:00:00",Larry
6211,Earlylds,S4157,,,"Book - Women of the Mormon Battalion","Larsen, Carl V. and Shirley N. Maynes, Compilers and Editors",,,,,,REPO2,"0000-00-00 00:00:00",Larry
6538,Earlylds,S4484,"BX 8609 .G82f 1860",,"Book - Fifteen Years Among the Mormons; being the narrative of Mrs. Mary Ettie V. Smith, late of Great Salt Lake City","Green, Nelson Winch","New York: H. Dayton, 1860 c 1857",,,,,REPO2,"0000-00-00 00:00:00",Larry
6628,Earlylds,S4574,,,"LDS - 1848 Emigration List",,,,,,,REPO7,"0000-00-00 00:00:00",Larry
7013,Earlylds,S4959,"FHL Film 673268 Item 17",,"Book - The Williams Genealogy","Williams, Deward C.",,,,,,REPO4,"0000-00-00 00:00:00",Larry
7207,Earlylds,S5153,,,"Internet Link - Crossroads to the West, a Mormon Trail Pioneer Database","Pioneer Research Group, Omaha, Nebraska",,,,,,REPO5,"2008-10-23 03:55:41",Larry
7270,Earlylds,S5216,,,"USA - Illinois - Hancock County, 1842 Personal Property Tax Record",,"Nauvoo Restoration Inc.",,,,,REPO7,"0000-00-00 00:00:00",Larry
7328,Earlylds,S5274,,,"Database - Mormon Immigration Index 1840-1890","Church of Jesus Christ of Latter-day Saints","CD #50174",,,,,REPO4,"0000-00-00 00:00:00",Larry
7777,Earlylds,S5723,,,"USA - 1830 United States Census","US Census Bureau",,,,,,REPO8,"0000-00-00 00:00:00",Larry
8648,Earlylds,S6594,,,"Internet Link - Lone Rock Cemetery Records, Richland Co., Wisconsin",,,,,,,REPO20,"2008-10-23 04:05:49",Larry
8813,Earlylds,S6759,"Q 929.273 Sn61sb",,"Book - Snow : History of Levi and Lucina Streeter Snow Family","Snow, Bess, Compiler",1940,,,,,REPO4,"0000-00-00 00:00:00",Larry
9420,Earlylds,S7366,,,"Manuscript - The Record","Electa Caroline Briggs Williams (1805-1872)",Manuscript,,,,,REPO21,"0000-00-00 00:00:00",Larry
9960,Earlylds,S7906,,,"LDS - Patriarchal Blessing Index","LDS Church",,,,,,REPO4,"0000-00-00 00:00:00",Larry
9961,Earlylds,S7907,,,"USA - Utah - Third District Court declaration of intentions","Utah District Court, Salt Lake County",,,,,,REPO22,"0000-00-00 00:00:00",Larry
9962,Earlylds,S7908,"FHL Fiche # 66051208",,"Book - Registry of names of persons residing in the various Wards as to Bishops Reports, 1852-1853",,,,,,,REPO4,"0000-00-00 00:00:00",Larry
10089,Earlylds,S8035,,,"Database - The Ship Brooklyn Passenger List, 1846",,,,,,,REPO23,"0000-00-00 00:00:00",Larry
10363,Earlylds,S8309,"921.73 C883a",,"Book - Jesse Wentworth Crosby, Mormon preacher, pioneer, man of God : his ancestry, his life, some of his progeny","Crosby, Samuel Wallace",1977,,,,,REPO4,"0000-00-00 00:00:00",Larry
10368,Earlylds,S8314,,,"Internet Link - Deseret News Semi-Weekly Death and Marriage Notices",,,,,,,REPO24,"2008-10-23 03:57:02",Larry
10668,Earlylds,S8614,,,"Book - Nauvoo, Gateway to the West","Blum, Ida",,,,,,REPO2,"0000-00-00 00:00:00",Larry
10786,Earlylds,S8732,"973.343 H2",,"Book - The History of Hancock County, Illinois","Cocheran, Robert M.","[Carthage, Illinois] : Board of Supervisors of Hancock County, c1968",,,,,REPO4,"0000-00-00 00:00:00",Larry
10886,Earlylds,S8832,,,"Database - New Orleans Passenger Lists 1820-1945",Ancestry.com,"MyFamily.com, Inc., 2006",,,,,REPO8,"0000-00-00 00:00:00",Larry
11055,Earlylds,S9001,,,"Internet Link - ""A Tragic Episode in American Religious History""","Far West Cultural Center, Far West, Missouri",,,,,,REPO19,"0000-00-00 00:00:00",Larry
11411,Earlylds,S9357,,,"LDS - Messenger and Advocate",,"Early LDS Periodical published in Kirtland, Ohio and Far West, Missouri",,,,,REPO3,"0000-00-00 00:00:00",Larry
11482,Earlylds,S9428,,,"Book - The Iowa Mormon Trail","Black, Susan Easton and William G. Hartley, editors","Helix Publishing, Orem, Utah, 1997.",,,,,REPO2,"0000-00-00 00:00:00",Larry
11624,Earlylds,S9570,,,"Manuscript - Journal of Joseph Fielding","Fielding, Joseph",,,,,,REPO21,"0000-00-00 00:00:00",Larry
11908,Earlylds,S9854,,,"Internet Link - The Telle Book","Markham, Julie Cannon",,,,,,REPO25,"2008-10-23 04:12:15",Larry
11936,Earlylds,S9882,,,"England - 1841 England Census","The National Archives of the UK (TNA)","Original data: Census Returns of England and Wales, 1841.",,,,,REPO8,"0000-00-00 00:00:00",Larry
12352,Earlylds,S10298,"Special Collections",,"LDS - Endowment House Temple Records","The Church of Jesus Christ of Latter-day Saints",,,,,,REPO4,"0000-00-00 00:00:00",Larry
12558,Earlylds,S10504,,,"LDS - Church Chronology","Jenson, Andrew","Deseret News Press, Salt Lake City, Utah, 1914",,,,,REPO2,"0000-00-00 00:00:00",Larry
13538,Earlylds,S11484,"Reel 227",,"LDS - Index of Deceased Membership Records","The Church of Jesus Christ of Latter-day Saints",1941-1974,,,,,REPO4,"0000-00-00 00:00:00",Larry
14567,Earlylds,S12513,,,"Internet Link - Building Up a City",,,,,,,REPO26,"2008-10-23 03:48:10",Larry
15505,Earlylds,S13451,,,"England - Crathorne Yorkshire - Bishop's Transcripts 1597-1906","Church of England",,,,,,REPO49,"0000-00-00 00:00:00",Larry
15674,Earlylds,S13620,"1421682 Item 4",,"Book - Advancing the Mormon frontier : the life and times of Joseph Stacy Murdock; pioneer, colonizer, peacemaker","Thompson, George A.","Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1986",,,,,REPO4,"0000-00-00 00:00:00",Larry
15865,Earlylds,S13811,,,"Periodical - Journal of the John Whitmer Historical Association","John Whitmer Historical Association",,,,,,REPO2,"0000-00-00 00:00:00",Larry
16385,Earlylds,S14331,,,"Book - Papers of Joseph Smith, Biographical Register","Jesse, Dean C., Editor",,,,,,REPO3,"0000-00-00 00:00:00",Larry
16756,Earlylds,S14702,,,"USA - 1900 United States Census","US Census Bureau",,,,,,REPO8,"0000-00-00 00:00:00",Larry
17318,Earlylds,S15264,,,"Database - Idaho Death Index, 1911-1951",,,,,,,REPO8,"0000-00-00 00:00:00",Larry
18982,Earlylds,S16928,,,"Periodical - Utah Historical Quarterly","Utah State Historical Society","Salt Lake City, Utah : Utah State Historical Society, 1928-",,,,,REPO2,"0000-00-00 00:00:00",Larry
19139,Earlylds,S17085,,,"Book - Family Bible of Hiram Kimball and Sarah Granger Kimball",,,,,,,REPO27,"0000-00-00 00:00:00",Larry
19213,Earlylds,S17159,,,"Manuscript - Email Correspondence","Black, Harvey B.","6 Dec 2004, Monday",,,,"Finally, my step ggg grandmother was listed by the Winter Quarters Cemetery sexton as Elizabeth King but was born Elizabeth Warriner in Brattleboro, VT. (She later married to a Mr. White, a Mr. Keep and finally to my ggg grandfather Thomas King.  Thomas died in 1844 in Montrose before his wife arrived in Winter Quarters).  Elizabeth Warriner is not listed by her maiden name in any of the available lists or biographies.",,"0000-00-00 00:00:00",Larry
19214,Earlylds,S17160,,,"Manuscript - Volney King Collection",,,,,,,REPO22,"0000-00-00 00:00:00",Larry
19450,Earlylds,S17396,,,"USA - 1810 United States Census","US Census Bureau",,,,,,REPO8,"0000-00-00 00:00:00",Larry
20101,Earlylds,S18047,"Film #4450, Part 3",,"LDS - Nauvoo, Members, Record of, 1841-1845, who handed in certificates of membership",,,,,,,REPO4,"0000-00-00 00:00:00",Larry
20400,Earlylds,S18346,,,"Internet Link - ""A Tale of Searching For Roots""",,,,,,,REPO28,"0000-00-00 00:00:00",Larry
21070,Earlylds,S19016,,,"England - Marton in Craven, Yorkshire - Bishop's Transcripts 1600-1853","Church of England",,,,,,REPO49,"0000-00-00 00:00:00",Larry
23229,Earlylds,S21175,,,"Newspaper - Obituaries",,,,,,,,"0000-00-00 00:00:00",Larry
23230,Earlylds,S21176,,,"Family Research from Venita Parry, Provo, Utah 2007-01-14",,,,,,,,"0000-00-00 00:00:00",Larry
23231,Earlylds,S21177,"948 H25sjh",,"Periodical - Scandinavian Journal of History, 24 volumes","The Historical Associations of Denmark, Finland, Norway and Sweden","Stockholm : Almqvist & Wiksell, c1976-",,,,,REPO4,"0000-00-00 00:00:00",Larry
23232,Earlylds,S21178,,,"USA - 1910 United States Census","US Census Bureau",,,,,,REPO8,"0000-00-00 00:00:00",Larry
23233,Earlylds,S21179,,,"USA - 1920 United States Census","US Census Bureau",,,,,,REPO8,"0000-00-00 00:00:00",Larry
