ID,gedcom,place,longitude,latitude,zoom,placelevel,temple,geoignore,notes
109306,Earlylds,", Lunz, Lower Austria, Austria",NULL,NULL,NULL,NULL,0,0,NULL
109305,Earlylds,"Pitcher, Chenango, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109304,Earlylds,"Petaluma, Sonoma, California, USA",NULL,NULL,NULL,NULL,0,0,NULL
109303,Earlylds,"Winter Quarters Ward No. 09, Winter Quarters (Florence), Douglas, Nebraska, USA",-95.96147775650024,41.337462612249865,16,2,0,0,"Winter Quarters Ward 9 was located in the block bounded Tucker Street to the north, N 29th to the east, Willit to the south and N 30th Street to the west.
Source: Estimated area from the record by Ronald G. Watt, ""Winter Quarters Wards""."
109302,Earlylds,"Columbia, Lancaster, Pennsylvania, USA",NULL,NULL,NULL,NULL,0,0,NULL
109301,Earlylds,"Kingston, Washington, Rhode Island, USA",NULL,NULL,NULL,NULL,0,0,NULL
109300,Earlylds,"Plano, Appanoose, Iowa, USA",NULL,NULL,NULL,NULL,0,0,NULL
109299,Earlylds,", Juab, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109298,Earlylds,"Jamestown, James City, Virginia, USA",NULL,NULL,NULL,NULL,0,0,NULL
109297,Earlylds,"Lancaster, Stormont Dundas And Glengarry, Ontario, Canada",NULL,NULL,NULL,NULL,0,0,NULL
109296,Earlylds,"Calhoun, Richland, Illinois, USA",NULL,NULL,NULL,NULL,0,0,NULL
109295,Earlylds,"Brigham Young Cemetery, Salt Lake City, Salt Lake, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109294,Earlylds,", Otsego, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109293,Earlylds,"Lenox, Berkshire, Massachusetts, USA",NULL,NULL,NULL,NULL,0,0,NULL
109292,Earlylds,"Whitby, Durham, Ontario, Canada",NULL,NULL,NULL,NULL,0,0,NULL
109291,Earlylds,"Royalton, Niagara, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109290,Earlylds,"Wood River, Hall, Nebraska, USA",NULL,NULL,NULL,NULL,0,0,NULL
109289,Earlylds,"Rigby, Jefferson, Idaho, USA",NULL,NULL,NULL,NULL,0,0,NULL
109288,Earlylds,"Bristol, Hartford, Connecticut, USA",NULL,NULL,NULL,NULL,0,0,NULL
109287,Earlylds,"Gisburn, Yorkshire West Riding, England",NULL,NULL,NULL,NULL,0,0,NULL
109286,Earlylds,"Bromsberrow, Gloucestershire, England",NULL,NULL,NULL,NULL,0,0,NULL
109285,Earlylds,"(of), , Mercer, Kentucky, USA",NULL,NULL,NULL,NULL,0,0,NULL
109284,Earlylds,"Fultonville, Montgomery, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109283,Earlylds,"Birmingham, Erie, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109282,Earlylds,"Mormon Island (Near Folsom), Sacramento, California, USA",NULL,NULL,NULL,NULL,0,0,NULL
109281,Earlylds,"Pisgah, Cooper, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109280,Earlylds,"Egremont, Grey, Ontario, Canada",NULL,NULL,NULL,NULL,0,0,NULL
109279,Earlylds,"Elyria, Lorain, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109278,Earlylds,"Hubbard, Trumbull, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109277,Earlylds,"Plains, Sussex, New Jersey, USA",NULL,NULL,NULL,NULL,0,0,NULL
109276,Earlylds,"Madison, Monroe, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109275,Earlylds,", Marion, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109273,Earlylds,"Lund, White Pine, Nevada, USA",NULL,NULL,NULL,NULL,0,0,NULL
109274,Earlylds,"Castana, Monona, Iowa, USA",NULL,NULL,NULL,NULL,0,0,NULL
109272,Earlylds,", La Salle, Illinois, USA",NULL,NULL,NULL,NULL,0,0,NULL
109271,Earlylds,"Bath township, Cerro Gordo, Iowa, USA",NULL,NULL,NULL,NULL,0,0,NULL
109270,Earlylds,"Declo, Cassia, Idaho, USA",NULL,NULL,NULL,NULL,0,0,NULL
109269,Earlylds,", Algoma, Ontario, Canada",NULL,NULL,NULL,NULL,0,0,NULL
109268,Earlylds,"Altrincham, Cheshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109267,Earlylds,"Walters Falls, Grey, Ontario, Canada",NULL,NULL,NULL,NULL,0,0,NULL
109266,Earlylds,"Concordia, Cloud, Kansas, USA",NULL,NULL,NULL,NULL,0,0,NULL
109265,Earlylds,"Walnut Grove Cemetery, Brownville, Nemaha, Nebraska, USA",NULL,NULL,NULL,NULL,0,0,NULL
109264,Earlylds,"Brownville, Nemaha, Nebraska, USA",NULL,NULL,NULL,NULL,0,0,NULL
109263,Earlylds,"Center Grove, Atchison, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109262,Earlylds,"Gananoque, Leeds And Grenville, Ontario, Canada",NULL,NULL,NULL,NULL,0,0,NULL
109261,Earlylds,"Center Grove Cemetery, Center Grove, Atchison, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109260,Earlylds,"(near), Tarkio, Atchison, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109259,Earlylds,"Bryn Mawr, San Bernardino, California, USA",NULL,NULL,NULL,NULL,0,0,NULL
109258,Earlylds,", Oakland, Michigan, USA",NULL,NULL,NULL,NULL,0,0,NULL
109256,Earlylds,", Morgan, Illinois, USA",NULL,NULL,NULL,NULL,0,0,NULL
109257,Earlylds,"Rochester, Racine, Wisconsin, USA",NULL,NULL,NULL,NULL,0,0,NULL
109255,Earlylds,"Trenton Falls, Oneida, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109254,Earlylds,"Mojave, Kern, California, USA",NULL,NULL,NULL,NULL,0,0,NULL
109253,Earlylds,"Worthington, Putnam, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109252,Earlylds,", McLean, Illinois, USA",NULL,NULL,NULL,NULL,0,0,NULL
109251,Earlylds,", Humphreys, Tennessee, USA",NULL,NULL,NULL,NULL,0,0,NULL
109250,Earlylds,"Haugen, Telemark, Norway",NULL,NULL,NULL,NULL,0,0,NULL
109249,Earlylds,"Pembroke, Genesee, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109248,Earlylds,"Strafford, Orange, Vermont, USA",NULL,NULL,NULL,NULL,0,0,NULL
